学校/培养单位,省份,城市,层次,培养单位,博士类型,招生方式,最近政策年份,最近通知,通知日期,通知链接,政策摘要,名额说明,匹配评分,档位,状态,来源等级,核验日期
山东第一医科大学附属省立医院,山东,济南,山东省重点建设医学高校；大型三级甲等医院；医学影像与核医学博士培养平台,附属省立医院；超声医学科；临床医学学术学位博士点,学博：100207影像医学与核医学；专业博士：以年度目录为准,申请-考核制；硕博连读；本科直博,2026,山东第一医科大学2026年博士研究生招生章程及附属省立医院考核名单,2025-12-22 / 2026-05-25,https://yz.sdfmu.edu.cn/info/1034/3395.htm,2026年博士培养含学术学位与专业学位；张华伟通过100207影像医学与核医学学博路径出现在附属省立医院2025、2026博士考核名单中。,导师个人最终录取名额未公开；考核名单人数不能直接视为招生名额。,99,匹配,重点监控,A,2026-07-25
山东大学齐鲁医院/齐鲁医学院,山东,济南,985；211；双一流；区域顶级临床平台,第一临床学院；山东大学分子影像与超声医学研究中心,学博；专博（以目录为准）,申请-考核制,2026,2026年齐鲁医学院临床医学博士研究生“申请-考核”招生工作通知,2026-05,https://qlyxjxgl.sdu.edu.cn/jxglbgs/yjsjiao/zsgz/bszs.htm,齐鲁医学院公开申请-考核通知、考核安排和结果；对你而言地域、临床背景及纳米超声方向匹配度最高。,导师个人名额未公开，建议邮件确认。,97,匹配,重点监控,A,2026-07-25
山东大学,山东,济南,985；211；双一流,齐鲁医学院；第一临床学院（齐鲁医院）；其他附属医院,学博；专博,申请-考核制；硕博连读；直博,2026,山东大学2026年招收攻读博士学位研究生章程,2025-11-18,https://www.yz.sdu.edu.cn/info/1022/1295.htm,2026招收学术型和专业学位博士，报名系统分2025年12月和2026年4月等批次开放，具体以招生单位通知为准。,学校/专业目录可查考试招生计划；导师个人名额通常需确认。,94,匹配,监控中,A,2026-07-25
徐州医科大学,江苏,徐州,省属重点医科大学,医学影像学院及附属医院,学博；专博（以目录为准）,申请-考核/普通招考（以年度政策为准）,2026,超声医学学科自2015年开始博士招生，年度政策需以研究生院为准,2025-09-15,https://yxxy.xzhmu.edu.cn/info/1015/7880.htm,超声医学、分子影像、纳米医学和生物材料的基础与临床转化方向与你高度匹配，竞争强度可能低于顶级985。,导师个人名额未公开，建议邮件确认。,91,匹配,重点监控,A,2026-07-25
同济大学医学院,上海,上海,985；211；双一流,上海市第十人民医院；同济大学医学院超声医学研究所,学博；专博（以目录为准）,申请-考核/普通招考（以年度章程为准）,2026,同济大学2026博士招生信息需以研招网与医学院细则为准,,https://yz.tongji.edu.cn/,超声分子影像、人工智能与介入平台与你的研究经历高度匹配；2027具体政策待发布。,导师个人名额未公开，建议邮件确认。,90,匹配,监控中,B,2026-07-25
重庆医科大学,重庆,重庆,省部共建医学高校；超声医学传统强校,超声医学工程国家重点/国家工程平台相关学院与附属医院,学博；专博（以目录为准）,申请-考核/普通招考（以年度政策为准）,2026,2026政策需以重庆医科大学研究生院最新公告为准,,https://yjsy.cqmu.edu.cn/,聚焦超声、超声分子影像和纳米诊疗方向与你高度匹配；2027导师资格和名额需重点核验。,导师个人名额未公开，建议邮件确认。,89,匹配,监控中,B,2026-07-25
上海交通大学医学院,上海,上海,985；211；双一流,瑞金医院；第六人民医院；第一人民医院等,学博；专博,申请-考核制；硕博连读；直博,2026,上海交通大学医学院2026年博士研究生招生简章,2025,https://www.gs.sjtu.edu.cn/post/detail/Z3MzMzU5,2026招生简章已发布；2027政策尚未发布。附属医院的具体导师资格与计划需逐单位核验。,导师个人名额未公开，建议邮件确认。,88,冲刺,监控中,A,2026-07-25
四川大学华西临床医学院/华西医院,四川,成都,985；211；双一流；国家级临床平台,华西临床医学院；超声医学科；医学前沿科学中心,学博；专博,申请-考核制；硕博连读,2026,四川大学华西临床医学院2026年普通招考博士研究生招生简章,2025-11-25,https://yjs.cd120.com/contents/412/7052.html,2026普通招考采用申请-考核；公开简章显示外语门槛可包括CET4≥425或认可的托福/雅思成绩。2027政策待发布。,导师个人名额未公开，建议邮件确认。,87,匹配,监控中,A,2026-07-25
暨南大学,广东,广州,医学博士培养单位,第一临床医学院/附属第一医院,专博,申请-考核制,2026,2026年博士招生信息/目录（以官方入口为准）,2025-2026,https://yz.jnu.edu.cn/2025/1210/c42554a847736/page.htm,2026目录明确设置105124超声医学，专业计划3人。,导师个人名额未公开，建议邮件确认。,87,匹配,监控中,A,2026-07-25
中山大学及附属医院,广东,广州,985；211；双一流,附属第一医院；附属第三医院；肿瘤防治中心等,学博；专博,申请-考核制,2026,中山大学2026年博士研究生招生简章及招生学科专业目录,2025-10-16,https://graduate.sysu.edu.cn/zsw/doctor,2026博士招生简章和目录已发布；附属医院通常再发布各自申请-考核细则。2027政策待发布。,按目录/培养单位公布口径核对；导师个人名额多需邮件确认。,86,冲刺,监控中,A,2026-07-25
中南大学湘雅医学院及附属医院,湖南,长沙,985；211；双一流；顶级临床平台,湘雅医院；湘雅二医院；湘雅三医院,学博；专博,申请-考核制,2026,中南大学2026年博士研究生招生简章,2025-11-26,https://yz.csu.edu.cn/info/1012/1469.htm,2026年分批报名，第二批专业目录会列出导师与计划。,培养单位/导师名额以年度目录为准。,86,冲刺,持续监控,A,2026-07-25
